Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
Which NFL team represented the AFC at Super Bowl 50?,National Football League (NFL) for the 2015 season. The American Football Conference,0,0,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,1,1,Carolina Panthers : Carolina Panthers : Carolina Panthers,,,,,,,,,,,,,,,,,,,,,,,,
Where did Super Bowl 50 take place?,Santa Clara  California,1,1,Santa Clara, California : Levi's Stadium : Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.,,,,,,,,,,,,,,,,,,,,,,
Which NFL team won Super Bowl 50?,National Football League,0,0,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,1,1,gold : gold : gold,,,,,,,,,,,,,,,,,,,,,,,,
What was the theme of Super Bowl 50?,American football game,0,0,"golden anniversary : gold-themed : ""golden anniversary",,,,,,,,,,,,,,,,,,,,,,,,
What day was the game played on?,February 7  2016,1,1,7-Feb, 2016 : February 7 : February 7,2016,,,,,,,,,,,,,,,,,,,,,,
What is the AFC short for?,American Football Conference,1,1,American Football Conference : American Football Conference : American Football Conference,,,,,,,,,,,,,,,,,,,,,,,,
What was the theme of Super Bowl 50?,American football game,0,0,golden anniversary : gold-themed : gold,,,,,,,,,,,,,,,,,,,,,,,,
What does AFC stand for?,American Football Conference,1,1,American Football Conference : American Football Conference : American Football Conference,,,,,,,,,,,,,,,,,,,,,,,,
What day was the Super Bowl played on?,February 7  2016,1,1,7-Feb, 2016 : February 7 : February 7,2016,,,,,,,,,,,,,,,,,,,,,,
Who won Super Bowl 50?,Denver Broncos,1,1,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
What venue did Super Bowl 50 take place in?,San Francisco Bay Area,0,1,Levi's Stadium : Levi's Stadium : Levi's Stadium in the San Francisco Bay Area at Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,
What city did Super Bowl 50 take place in?,Santa Clara  California,0,0,Santa Clara : Santa Clara : Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,
If Roman numerals were used  what would Super Bowl 50 have been called?,Super Bowl L,1,1,Super Bowl L : L : Super Bowl L,,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl 50 decided the NFL champion for what season?,2015,1,1,2015 : the 2015 season : 2015,,,,,,,,,,,,,,,,,,,,,,,,
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,1,1,2015 : 2016 : 2015,,,,,,,,,,,,,,,,,,,,,,,,
