Loaded 5166/5166 examples from test
{ 'answer_dir': 'out_newsqa/basic/00/answer',
  'answer_func': 'linear',
  'answer_path': '',
  'batch_size': 60,
  'c2q_att': True,
  'char_count_th': 50,
  'char_emb_size': 8,
  'char_out_size': 100,
  'char_vocab_size': 281,
  'cluster': True,
  'cpu_opt': False,
  'data_dir': 'data/newsqa1',
  'data_filter': 'max',
  'debug': False,
  'decay': 0.9,
  'device': '/cpu:0',
  'device_type': 'gpu',
  'dump_answer': True,
  'dump_eval': True,
  'dump_pickle': True,
  'dynamic_att': False,
  'eval': True,
  'eval_dir': 'out_newsqa/basic/00/eval',
  'eval_path': '',
  'eval_period': 1000,
  'filter_heights': '5',
  'finetune': False,
  'forward_name': 'single',
  'hidden_size': 100,
  'highway': True,
  'highway_num_layers': 2,
  'init_lr': 0.5,
  'input_keep_prob': 0.8,
  'keep_prob': 0.8,
  'known_if_glove': True,
  'len_opt': True,
  'load': True,
  'load_ema': True,
  'load_path': '',
  'load_step': 0,
  'log_dir': 'out_newsqa/basic/00/log',
  'log_period': 100,
  'logit_func': 'tri_linear',
  'lower_word': True,
  'max_num_sents': 1,
  'max_para_size': 2321,
  'max_ques_size': 25,
  'max_sent_size': 2321,
  'max_to_keep': 20,
  'max_word_size': 16,
  'mode': 'test',
  'model_name': 'basic',
  'new_emb_mat': array([[ 0.15513  , -0.0048726,  0.10078  , ...,  0.13347  ,  0.23746  ,
        -0.40495  ],
       [ 0.2602   , -0.21419  ,  0.11374  , ...,  0.76131  ,  0.24342  ,
         0.22089  ],
       [ 0.29752  , -0.055609 , -0.42104  , ...,  0.42252  ,  1.3525   ,
        -0.7318   ],
       ...,
       [-0.23052  , -0.26205  ,  0.5812   , ..., -0.53498  , -0.63387  ,
        -0.91629  ],
       [ 0.3251   , -0.14974  ,  0.17783  , ..., -0.69904  , -0.17716  ,
        -0.69788  ],
       [ 0.47016  , -0.084744 ,  0.48186  , ..., -0.47154  , -0.64448  ,
        -0.84799  ]], dtype=float32),
  'num_epochs': 12,
  'num_gpus': 2,
  'num_sents_th': 8,
  'num_steps': 20000,
  'out_base_dir': 'out_newsqa',
  'out_channel_dims': '100',
  'out_dir': 'out_newsqa/basic/00',
  'para_size_th': 256,
  'progress': True,
  'q2c_att': True,
  'ques_size_th': 30,
  'run_id': '0',
  'save_dir': 'out_newsqa/basic/00/save',
  'save_period': 1000,
  'sent_size_th': 400,
  'sh_logit_func': 'tri_linear',
  'share_cnn_weights': True,
  'share_lstm_weights': True,
  'shared_path': '',
  'single': False,
  'squash': False,
  'swap_memory': True,
  'test_num_batches': 0,
  'use_char_emb': True,
  'use_glove_for_unk': True,
  'use_word_emb': True,
  'val_num_batches': 100,
  'var_decay': 0.999,
  'vis': False,
  'wd': 0.0,
  'word_count_th': 10,
  'word_emb_size': 100,
  'word_size_th': 16,
  'word_vocab_size': 1224}
Loading saved model from out_newsqa/basic/00/save/basic-12000
