Loaded 5166/5166 examples from test
{ 'answer_dir': 'out_marco/basic/00/answer',
  'answer_func': 'linear',
  'answer_path': '',
  'batch_size': 60,
  'c2q_att': True,
  'char_count_th': 50,
  'char_emb_size': 8,
  'char_out_size': 100,
  'char_vocab_size': 332,
  'cluster': True,
  'cpu_opt': False,
  'data_dir': 'data/newsqa',
  'data_filter': 'max',
  'debug': False,
  'decay': 0.9,
  'device': '/cpu:0',
  'device_type': 'gpu',
  'dump_answer': True,
  'dump_eval': True,
  'dump_pickle': True,
  'dynamic_att': False,
  'eval': True,
  'eval_dir': 'out_marco/basic/00/eval',
  'eval_path': '',
  'eval_period': 1000,
  'filter_heights': '5',
  'finetune': False,
  'forward_name': 'single',
  'hidden_size': 100,
  'highway': True,
  'highway_num_layers': 2,
  'init_lr': 0.5,
  'input_keep_prob': 0.8,
  'keep_prob': 0.8,
  'known_if_glove': True,
  'len_opt': True,
  'load': True,
  'load_ema': True,
  'load_path': '',
  'load_step': 0,
  'log_dir': 'out_marco/basic/00/log',
  'log_period': 100,
  'logit_func': 'tri_linear',
  'lower_word': True,
  'max_num_sents': 1,
  'max_para_size': 2321,
  'max_ques_size': 25,
  'max_sent_size': 2321,
  'max_to_keep': 20,
  'max_word_size': 16,
  'mode': 'test',
  'model_name': 'basic',
  'new_emb_mat': array([[-0.13933  ,  0.16698  ,  0.14728  , ..., -0.18654  ,  0.54403  ,
         0.78034  ],
       [ 0.077873 ,  0.42767  ,  0.60747  , ..., -0.23184  , -0.24499  ,
         0.65245  ],
       [ 0.29722  ,  0.051018 , -0.0010202, ...,  0.49313  ,  0.28611  ,
         0.4561   ],
       ...,
       [ 0.097218 , -0.12531  ,  0.39897  , ..., -0.43841  ,  0.80591  ,
        -0.68801  ],
       [-0.69595  , -0.42713  ,  0.82053  , ..., -0.39974  ,  0.9062   ,
         0.20014  ],
       [ 0.21068  ,  0.23425  , -0.80202  , ..., -0.57007  ,  0.2292   ,
         0.60488  ]], dtype=float32),
  'num_epochs': 12,
  'num_gpus': 2,
  'num_sents_th': 8,
  'num_steps': 20000,
  'out_base_dir': 'out_marco',
  'out_channel_dims': '100',
  'out_dir': 'out_marco/basic/00',
  'para_size_th': 256,
  'progress': True,
  'q2c_att': True,
  'ques_size_th': 30,
  'run_id': '0',
  'save_dir': 'out_marco/basic/00/save',
  'save_period': 1000,
  'sent_size_th': 400,
  'sh_logit_func': 'tri_linear',
  'share_cnn_weights': True,
  'share_lstm_weights': True,
  'shared_path': '',
  'single': False,
  'squash': False,
  'swap_memory': True,
  'test_num_batches': 0,
  'use_char_emb': True,
  'use_glove_for_unk': True,
  'use_word_emb': True,
  'val_num_batches': 100,
  'var_decay': 0.999,
  'vis': False,
  'wd': 0.0,
  'word_count_th': 10,
  'word_emb_size': 100,
  'word_size_th': 16,
  'word_vocab_size': 6479}
Loading saved model from out_marco/basic/00/save/basic-4000
